statement,label,question,question_with_answer
Edwin Herbert Hall lived in the U.S.,1,In which country did Edwin Herbert Hall live?,In which country did Edwin Herbert Hall live? the U.S.
Emile Berliner lived in Russia.,0,In which country did Emile Berliner live?,In which country did Emile Berliner live? Russia.
Frederick Walton lived in the U.S.,0,In which country did Frederick Walton live?,In which country did Frederick Walton live? the U.S.
William Congreve lived in Canada.,0,In which country did William Congreve live?,In which country did William Congreve live? Canada.
Gustaf Dalén lived in Sweden.,1,In which country did Gustaf Dalén live?,In which country did Gustaf Dalén live? Sweden.
Evangelista Torricelli lived in the U.S.,0,In which country did Evangelista Torricelli live?,In which country did Evangelista Torricelli live? the U.S.
George Pullman lived in the U.K.,0,In which country did George Pullman live?,In which country did George Pullman live? the U.K.
Marvin Camras lived in France.,0,In which country did Marvin Camras live?,In which country did Marvin Camras live? France.
William Sturgeon lived in the U.K.,1,In which country did William Sturgeon live?,In which country did William Sturgeon live? the U.K.
Frederick Walton lived in the U.K.,1,In which country did Frederick Walton live?,In which country did Frederick Walton live? the U.K.
Clarence Birdseye lived in the U.S.,1,In which country did Clarence Birdseye live?,In which country did Clarence Birdseye live? the U.S.
Gideon Sundback lived in Sweden/the U.S.,1,In which country did Gideon Sundback live?,In which country did Gideon Sundback live? Sweden/the U.S.
John Shepherd-Barron lived in Scotland.,1,In which country did John Shepherd-Barron live?,In which country did John Shepherd-Barron live? Scotland.
Edwin Link lived in the U.K.,0,In which country did Edwin Link live?,In which country did Edwin Link live? the U.K.
Chester Carlson lived in the U.K.,0,In which country did Chester Carlson live?,In which country did Chester Carlson live? the U.K.
Whitcomb Judson lived in the U.S.,1,In which country did Whitcomb Judson live?,In which country did Whitcomb Judson live? the U.S.
Joseph Glidden lived in the U.S.,1,In which country did Joseph Glidden live?,In which country did Joseph Glidden live? the U.S.
Rudolf Diesel lived in the U.S.,0,In which country did Rudolf Diesel live?,In which country did Rudolf Diesel live? the U.S.
Charles Wheatstone lived in France.,0,In which country did Charles Wheatstone live?,In which country did Charles Wheatstone live? France.
John Callcott Horsley lived in Germany.,0,In which country did John Callcott Horsley live?,In which country did John Callcott Horsley live? Germany.
Charles Goodyear lived in the U.S.,1,In which country did Charles Goodyear live?,In which country did Charles Goodyear live? the U.S.
Lloyd Groff Copeman lived in the U.S.,1,In which country did Lloyd Groff Copeman live?,In which country did Lloyd Groff Copeman live? the U.S.
Herbert Akroyd Stuart lived in England.,1,In which country did Herbert Akroyd Stuart live?,In which country did Herbert Akroyd Stuart live? England.
Herbert Saffir lived in the U.K.,0,In which country did Herbert Saffir live?,In which country did Herbert Saffir live? the U.K.
August Horch lived in Russia.,0,In which country did August Horch live?,In which country did August Horch live? Russia.
Joseph Marie Jacquard lived in the Netherlands.,0,In which country did Joseph Marie Jacquard live?,In which country did Joseph Marie Jacquard live? the Netherlands.
David Edward Hughes lived in the U.S.,1,In which country did David Edward Hughes live?,In which country did David Edward Hughes live? the U.S.
Yoshua Bengio lived in Canada.,1,In which country did Yoshua Bengio live?,In which country did Yoshua Bengio live? Canada.
Ferdinand Carré lived in the U.S.,0,In which country did Ferdinand Carré live?,In which country did Ferdinand Carré live? the U.S.
Rudolf Kálmán lived in Hungary.,1,In which country did Rudolf Kálmán live?,In which country did Rudolf Kálmán live? Hungary.
Charles Fritts lived in the U.S.,1,In which country did Charles Fritts live?,In which country did Charles Fritts live? the U.S.
Narinder Singh Kapany lived in India.,1,In which country did Narinder Singh Kapany live?,In which country did Narinder Singh Kapany live? India.
Archimedes lived in Ancient Greece.,1,In which country did Archimedes live?,In which country did Archimedes live? Ancient Greece.
Gottlieb Daimler lived in France.,0,In which country did Gottlieb Daimler live?,In which country did Gottlieb Daimler live? France.
Fritz Pfleumer lived in Germany.,1,In which country did Fritz Pfleumer live?,In which country did Fritz Pfleumer live? Germany.
Arthur Fry lived in the U.S.,1,In which country did Arthur Fry live?,In which country did Arthur Fry live? the U.S.
Fridtjof Nansen lived in the U.K.,0,In which country did Fridtjof Nansen live?,In which country did Fridtjof Nansen live? the U.K.
Semyon Kirlian lived in Russia.,1,In which country did Semyon Kirlian live?,In which country did Semyon Kirlian live? Russia.
Ignazio Porro lived in Italy.,1,In which country did Ignazio Porro live?,In which country did Ignazio Porro live? Italy.
Paul Gottlieb Nipkow lived in Denmark.,0,In which country did Paul Gottlieb Nipkow live?,In which country did Paul Gottlieb Nipkow live? Denmark.
Edwin H. Land lived in Sweden.,0,In which country did Edwin H. Land live?,In which country did Edwin H. Land live? Sweden.
Lester Wire lived in the U.S.,1,In which country did Lester Wire live?,In which country did Lester Wire live? the U.S.
László Bíró lived in Hungary.,1,In which country did László Bíró live?,In which country did László Bíró live? Hungary.
George Eastman lived in the U.K.,0,In which country did George Eastman live?,In which country did George Eastman live? the U.K.
Galileo Galilei lived in Italy.,1,In which country did Galileo Galilei live?,In which country did Galileo Galilei live? Italy.
John Atanasoff lived in the U.S.,1,In which country did John Atanasoff live?,In which country did John Atanasoff live? the U.S.
Benjamin Franklin lived in the U.S.,1,In which country did Benjamin Franklin live?,In which country did Benjamin Franklin live? the U.S.
Sir Sandford Fleming lived in Canada.,1,In which country did Sir Sandford Fleming live?,In which country did Sir Sandford Fleming live? Canada.
Robert Moog lived in the U.S.,1,In which country did Robert Moog live?,In which country did Robert Moog live? the U.S.
George Washington Carver lived in the U.S.,1,In which country did George Washington Carver live?,In which country did George Washington Carver live? the U.S.
James Clerk Maxwell lived in the U.S.,0,In which country did James Clerk Maxwell live?,In which country did James Clerk Maxwell live? the U.S.
Hans Lippershey lived in the U.S.,0,In which country did Hans Lippershey live?,In which country did Hans Lippershey live? the U.S.
Fridtjof Nansen lived in Norway.,1,In which country did Fridtjof Nansen live?,In which country did Fridtjof Nansen live? Norway.
Sir Sandford Fleming lived in the U.S.,0,In which country did Sir Sandford Fleming live?,In which country did Sir Sandford Fleming live? the U.S.
Willis Carrier lived in the U.S.,1,In which country did Willis Carrier live?,In which country did Willis Carrier live? the U.S.
Joseph-Armand Bombardier lived in Canada.,1,In which country did Joseph-Armand Bombardier live?,In which country did Joseph-Armand Bombardier live? Canada.
Earle Dickson lived in the U.S.,1,In which country did Earle Dickson live?,In which country did Earle Dickson live? the U.S.
Luther George Simjian lived in Turkey/the U.S.,1,In which country did Luther George Simjian live?,In which country did Luther George Simjian live? Turkey/the U.S.
Herbert Saffir lived in the U.S.,1,In which country did Herbert Saffir live?,In which country did Herbert Saffir live? the U.S.
Ignazio Porro lived in the U.S.,0,In which country did Ignazio Porro live?,In which country did Ignazio Porro live? the U.S.
Wallace Carothers lived in the U.S.,1,In which country did Wallace Carothers live?,In which country did Wallace Carothers live? the U.S.
John Wesley Hyatt lived in the U.S.,1,In which country did John Wesley Hyatt live?,In which country did John Wesley Hyatt live? the U.S.
James Dyson lived in the U.K.,1,In which country did James Dyson live?,In which country did James Dyson live? the U.K.
Candace Pert lived in the U.S.,1,In which country did Candace Pert live?,In which country did Candace Pert live? the U.S.
David Schwarz lived in France.,0,In which country did David Schwarz live?,In which country did David Schwarz live? France.
Walter Hunt lived in the U.S.,1,In which country did Walter Hunt live?,In which country did Walter Hunt live? the U.S.
Samuel Morse lived in Germany.,0,In which country did Samuel Morse live?,In which country did Samuel Morse live? Germany.
Yvonne Brill lived in Canada.,1,In which country did Yvonne Brill live?,In which country did Yvonne Brill live? Canada.
Guglielmo Marconi lived in the U.K.,0,In which country did Guglielmo Marconi live?,In which country did Guglielmo Marconi live? the U.K.
Shinya Yamanaka lived in Germany.,0,In which country did Shinya Yamanaka live?,In which country did Shinya Yamanaka live? Germany.
Carl Sontheimer lived in Switzerland.,0,In which country did Carl Sontheimer live?,In which country did Carl Sontheimer live? Switzerland.
Sergey Brin and Larry Page lived in the U.K.,0,In which country did Sergey Brin and Larry Page live?,In which country did Sergey Brin and Larry Page live? the U.K.
Percy Spencer lived in the U.S.,1,In which country did Percy Spencer live?,In which country did Percy Spencer live? the U.S.
Henry Bessemer lived in the U.K.,1,In which country did Henry Bessemer live?,In which country did Henry Bessemer live? the U.K.
Ruth Handler lived in the Netherlands.,0,In which country did Ruth Handler live?,In which country did Ruth Handler live? the Netherlands.
Richard Leach Maddox lived in the U.K.,1,In which country did Richard Leach Maddox live?,In which country did Richard Leach Maddox live? the U.K.
Alfred Nobel lived in the U.S.,0,In which country did Alfred Nobel live?,In which country did Alfred Nobel live? the U.S.
Thomas Wedgwood lived in the U.K.,1,In which country did Thomas Wedgwood live?,In which country did Thomas Wedgwood live? the U.K.
Frank Bunker Gilbreth lived in the U.S.,1,In which country did Frank Bunker Gilbreth live?,In which country did Frank Bunker Gilbreth live? the U.S.
Benjamin Holt lived in the U.S.,1,In which country did Benjamin Holt live?,In which country did Benjamin Holt live? the U.S.
Josephine Cochrane lived in Germany.,0,In which country did Josephine Cochrane live?,In which country did Josephine Cochrane live? Germany.
Godfrey Hounsfield lived in Denmark.,0,In which country did Godfrey Hounsfield live?,In which country did Godfrey Hounsfield live? Denmark.
Antoine Lavoisier lived in France.,1,In which country did Antoine Lavoisier live?,In which country did Antoine Lavoisier live? France.
Carlos Glidden lived in Scotland.,0,In which country did Carlos Glidden live?,In which country did Carlos Glidden live? Scotland.
Maria Telkes lived in Hungary/the U.S.,1,In which country did Maria Telkes live?,In which country did Maria Telkes live? Hungary/the U.S.
Robert Adler lived in Austria/the U.S.,1,In which country did Robert Adler live?,In which country did Robert Adler live? Austria/the U.S.
James Watt lived in the U.S.,0,In which country did James Watt live?,In which country did James Watt live? the U.S.
Edwin Link lived in the U.S.,1,In which country did Edwin Link live?,In which country did Edwin Link live? the U.S.
Igor Sikorsky lived in the U.S.,0,In which country did Igor Sikorsky live?,In which country did Igor Sikorsky live? the U.S.
Sir Humphry Davy lived in the U.K.,1,In which country did Sir Humphry Davy live?,In which country did Sir Humphry Davy live? the U.K.
Nikolai Basov lived in the U.S.,0,In which country did Nikolai Basov live?,In which country did Nikolai Basov live? the U.S.
Edwin H. Land lived in the U.S.,1,In which country did Edwin H. Land live?,In which country did Edwin H. Land live? the U.S.
Cai Lun lived in Italy.,0,In which country did Cai Lun live?,In which country did Cai Lun live? Italy.
Mary Walton lived in France.,0,In which country did Mary Walton live?,In which country did Mary Walton live? France.
Joseph Aspdin lived in Switzerland.,0,In which country did Joseph Aspdin live?,In which country did Joseph Aspdin live? Switzerland.
James Watt lived in Scotland.,1,In which country did James Watt live?,In which country did James Watt live? Scotland.
Ernest Swinton lived in the U.K.,1,In which country did Ernest Swinton live?,In which country did Ernest Swinton live? the U.K.
Jean-Bernard-Léon Foucault lived in France.,1,In which country did Jean-Bernard-Léon Foucault live?,In which country did Jean-Bernard-Léon Foucault live? France.
Gordon Gould lived in the U.S.,1,In which country did Gordon Gould live?,In which country did Gordon Gould live? the U.S.
Leonardo da Vinci lived in Poland/France.,0,In which country did Leonardo da Vinci live?,In which country did Leonardo da Vinci live? Poland/France.
Ernesto Blanco lived in the U.S.,1,In which country did Ernesto Blanco live?,In which country did Ernesto Blanco live? the U.S.
George Cayley lived in Canada.,0,In which country did George Cayley live?,In which country did George Cayley live? Canada.
John von Neumann lived in Hungary/the U.S.,1,In which country did John von Neumann live?,In which country did John von Neumann live? Hungary/the U.S.
Gideon Sundback lived in the U.S.,0,In which country did Gideon Sundback live?,In which country did Gideon Sundback live? the U.S.
Ruth Benerito lived in the U.S.,1,In which country did Ruth Benerito live?,In which country did Ruth Benerito live? the U.S.
Robert Moog lived in Austria/the U.S.,0,In which country did Robert Moog live?,In which country did Robert Moog live? Austria/the U.S.
Luther George Simjian lived in Norway.,0,In which country did Luther George Simjian live?,In which country did Luther George Simjian live? Norway.
Ralph H. Baer lived in the U.S.,1,In which country did Ralph H. Baer live?,In which country did Ralph H. Baer live? the U.S.
John Gorrie lived in Italy.,0,In which country did John Gorrie live?,In which country did John Gorrie live? Italy.
Michael Faraday lived in the U.K.,1,In which country did Michael Faraday live?,In which country did Michael Faraday live? the U.K.
Lloyd Groff Copeman lived in Germany.,0,In which country did Lloyd Groff Copeman live?,In which country did Lloyd Groff Copeman live? Germany.
Philo Farnsworth lived in Germany.,0,In which country did Philo Farnsworth live?,In which country did Philo Farnsworth live? Germany.
Alan Turing lived in the U.K.,1,In which country did Alan Turing live?,In which country did Alan Turing live? the U.K.
Elisha Gray lived in the U.S.,1,In which country did Elisha Gray live?,In which country did Elisha Gray live? the U.S.
Édouard-Léon Scott de Martinville lived in France.,1,In which country did Édouard-Léon Scott de Martinville live?,In which country did Édouard-Léon Scott de Martinville live? France.
Zhores Alferov lived in the U.K.,0,In which country did Zhores Alferov live?,In which country did Zhores Alferov live? the U.K.
Leon Theremin lived in Russia.,1,In which country did Leon Theremin live?,In which country did Leon Theremin live? Russia.
Rudolf Diesel lived in Germany.,1,In which country did Rudolf Diesel live?,In which country did Rudolf Diesel live? Germany.
