statement,label,question,question_with_answer
Thallium has the symbol Tl.,1,Which symbol does Thallium have?,Which symbol does Thallium have? Tl.
Barium has the symbol Sb.,0,Which symbol does Barium have?,Which symbol does Barium have? Sb.
Tantalum has the symbol Ta.,1,Which symbol does Tantalum have?,Which symbol does Tantalum have? Ta.
Beryllium has the symbol Be.,1,Which symbol does Beryllium have?,Which symbol does Beryllium have? Be.
Yttrium has the symbol U.,0,Which symbol does Yttrium have?,Which symbol does Yttrium have? U.
Krypton has the symbol Kr.,1,Which symbol does Krypton have?,Which symbol does Krypton have? Kr.
Molybdenum has the symbol Np.,0,Which symbol does Molybdenum have?,Which symbol does Molybdenum have? Np.
Strontium has the symbol Sn.,0,Which symbol does Strontium have?,Which symbol does Strontium have? Sn.
Rubidium has the symbol Rb.,1,Which symbol does Rubidium have?,Which symbol does Rubidium have? Rb.
Titanium has the symbol Ti.,1,Which symbol does Titanium have?,Which symbol does Titanium have? Ti.
Strontium has the symbol Sr.,1,Which symbol does Strontium have?,Which symbol does Strontium have? Sr.
Mercury has the symbol Cl.,0,Which symbol does Mercury have?,Which symbol does Mercury have? Cl.
Xenon has the symbol Xe.,1,Which symbol does Xenon have?,Which symbol does Xenon have? Xe.
Uranium has the symbol Re.,0,Which symbol does Uranium have?,Which symbol does Uranium have? Re.
Indium has the symbol As.,0,Which symbol does Indium have?,Which symbol does Indium have? As.
Gallium has the symbol Ga.,1,Which symbol does Gallium have?,Which symbol does Gallium have? Ga.
Europium has the symbol Eu.,1,Which symbol does Europium have?,Which symbol does Europium have? Eu.
Chlorine has the symbol Cl.,1,Which symbol does Chlorine have?,Which symbol does Chlorine have? Cl.
Palladium has the symbol Nd.,0,Which symbol does Palladium have?,Which symbol does Palladium have? Nd.
Rubidium has the symbol Kr.,0,Which symbol does Rubidium have?,Which symbol does Rubidium have? Kr.
Zinc has the symbol Fr.,0,Which symbol does Zinc have?,Which symbol does Zinc have? Fr.
Sodium has the symbol Lu.,0,Which symbol does Sodium have?,Which symbol does Sodium have? Lu.
Francium has the symbol Fr.,1,Which symbol does Francium have?,Which symbol does Francium have? Fr.
Selenium has the symbol Se.,1,Which symbol does Selenium have?,Which symbol does Selenium have? Se.
Silver has the symbol Ag.,1,Which symbol does Silver have?,Which symbol does Silver have? Ag.
Potassium has the symbol Al.,0,Which symbol does Potassium have?,Which symbol does Potassium have? Al.
Neon has the symbol Ne.,1,Which symbol does Neon have?,Which symbol does Neon have? Ne.
Palladium has the symbol Pd.,1,Which symbol does Palladium have?,Which symbol does Palladium have? Pd.
Sulfur has the symbol S.,1,Which symbol does Sulfur have?,Which symbol does Sulfur have? S.
Antimony has the symbol Al.,0,Which symbol does Antimony have?,Which symbol does Antimony have? Al.
Polonium has the symbol Tb.,0,Which symbol does Polonium have?,Which symbol does Polonium have? Tb.
Hafnium has the symbol Hf.,1,Which symbol does Hafnium have?,Which symbol does Hafnium have? Hf.
Gold has the symbol Cr.,0,Which symbol does Gold have?,Which symbol does Gold have? Cr.
Chlorine has the symbol Cr.,0,Which symbol does Chlorine have?,Which symbol does Chlorine have? Cr.
Iridium has the symbol Ir.,1,Which symbol does Iridium have?,Which symbol does Iridium have? Ir.
Francium has the symbol Tl.,0,Which symbol does Francium have?,Which symbol does Francium have? Tl.
Actinium has the symbol Ac.,1,Which symbol does Actinium have?,Which symbol does Actinium have? Ac.
Gold has the symbol Au.,1,Which symbol does Gold have?,Which symbol does Gold have? Au.
Beryllium has the symbol As.,0,Which symbol does Beryllium have?,Which symbol does Beryllium have? As.
Rhenium has the symbol Tm.,0,Which symbol does Rhenium have?,Which symbol does Rhenium have? Tm.
Erbium has the symbol Pr.,0,Which symbol does Erbium have?,Which symbol does Erbium have? Pr.
Cadmium has the symbol Cd.,1,Which symbol does Cadmium have?,Which symbol does Cadmium have? Cd.
Actinium has the symbol Ar.,0,Which symbol does Actinium have?,Which symbol does Actinium have? Ar.
Osmium has the symbol Os.,1,Which symbol does Osmium have?,Which symbol does Osmium have? Os.
Neptunium has the symbol Np.,1,Which symbol does Neptunium have?,Which symbol does Neptunium have? Np.
Cerium has the symbol Ne.,0,Which symbol does Cerium have?,Which symbol does Cerium have? Ne.
Potassium has the symbol K.,1,Which symbol does Potassium have?,Which symbol does Potassium have? K.
Bromine has the symbol Br.,1,Which symbol does Bromine have?,Which symbol does Bromine have? Br.
Arsenic has the symbol Re.,0,Which symbol does Arsenic have?,Which symbol does Arsenic have? Re.
Thorium has the symbol Se.,0,Which symbol does Thorium have?,Which symbol does Thorium have? Se.
Calcium has the symbol Ca.,1,Which symbol does Calcium have?,Which symbol does Calcium have? Ca.
Zirconium has the symbol Zr.,1,Which symbol does Zirconium have?,Which symbol does Zirconium have? Zr.
Dysprosium has the symbol U.,0,Which symbol does Dysprosium have?,Which symbol does Dysprosium have? U.
Boron has the symbol B.,1,Which symbol does Boron have?,Which symbol does Boron have? B.
Silver has the symbol Sb.,0,Which symbol does Silver have?,Which symbol does Silver have? Sb.
Phosphorus has the symbol P.,1,Which symbol does Phosphorus have?,Which symbol does Phosphorus have? P.
Xenon has the symbol F.,0,Which symbol does Xenon have?,Which symbol does Xenon have? F.
Lutetium has the symbol Lu.,1,Which symbol does Lutetium have?,Which symbol does Lutetium have? Lu.
Phosphorus has the symbol Zn.,0,Which symbol does Phosphorus have?,Which symbol does Phosphorus have? Zn.
Fluorine has the symbol N.,0,Which symbol does Fluorine have?,Which symbol does Fluorine have? N.
Magnesium has the symbol Mg.,1,Which symbol does Magnesium have?,Which symbol does Magnesium have? Mg.
Neon has the symbol Lu.,0,Which symbol does Neon have?,Which symbol does Neon have? Lu.
Ruthenium has the symbol Au.,0,Which symbol does Ruthenium have?,Which symbol does Ruthenium have? Au.
Thulium has the symbol Tm.,1,Which symbol does Thulium have?,Which symbol does Thulium have? Tm.
Holmium has the symbol Ho.,1,Which symbol does Holmium have?,Which symbol does Holmium have? Ho.
Bromine has the symbol Mo.,0,Which symbol does Bromine have?,Which symbol does Bromine have? Mo.
Bismuth has the symbol Bi.,1,Which symbol does Bismuth have?,Which symbol does Bismuth have? Bi.
Promethium has the symbol Pm.,1,Which symbol does Promethium have?,Which symbol does Promethium have? Pm.
Rhodium has the symbol Rh.,1,Which symbol does Rhodium have?,Which symbol does Rhodium have? Rh.
Niobium has the symbol Nb.,1,Which symbol does Niobium have?,Which symbol does Niobium have? Nb.
Selenium has the symbol Na.,0,Which symbol does Selenium have?,Which symbol does Selenium have? Na.
Aluminum has the symbol Sc.,0,Which symbol does Aluminum have?,Which symbol does Aluminum have? Sc.
Ytterbium has the symbol Mo.,0,Which symbol does Ytterbium have?,Which symbol does Ytterbium have? Mo.
Lithium has the symbol Sb.,0,Which symbol does Lithium have?,Which symbol does Lithium have? Sb.
Iron has the symbol Tl.,0,Which symbol does Iron have?,Which symbol does Iron have? Tl.
Cadmium has the symbol Ir.,0,Which symbol does Cadmium have?,Which symbol does Cadmium have? Ir.
Mercury has the symbol Hg.,1,Which symbol does Mercury have?,Which symbol does Mercury have? Hg.
Oxygen has the symbol O.,1,Which symbol does Oxygen have?,Which symbol does Oxygen have? O.
Indium has the symbol In.,1,Which symbol does Indium have?,Which symbol does Indium have? In.
Carbon has the symbol C.,1,Which symbol does Carbon have?,Which symbol does Carbon have? C.
Lithium has the symbol Li.,1,Which symbol does Lithium have?,Which symbol does Lithium have? Li.
Tungsten has the symbol Zr.,0,Which symbol does Tungsten have?,Which symbol does Tungsten have? Zr.
Protactinium has the symbol Pa.,1,Which symbol does Protactinium have?,Which symbol does Protactinium have? Pa.
Gallium has the symbol Cs.,0,Which symbol does Gallium have?,Which symbol does Gallium have? Cs.
Manganese has the symbol Gd.,0,Which symbol does Manganese have?,Which symbol does Manganese have? Gd.
Calcium has the symbol P.,0,Which symbol does Calcium have?,Which symbol does Calcium have? P.
Chromium has the symbol Ru.,0,Which symbol does Chromium have?,Which symbol does Chromium have? Ru.
Cobalt has the symbol Co.,1,Which symbol does Cobalt have?,Which symbol does Cobalt have? Co.
Cesium has the symbol Cs.,1,Which symbol does Cesium have?,Which symbol does Cesium have? Cs.
Tungsten has the symbol W.,1,Which symbol does Tungsten have?,Which symbol does Tungsten have? W.
Sodium has the symbol Na.,1,Which symbol does Sodium have?,Which symbol does Sodium have? Na.
Ytterbium has the symbol Yb.,1,Which symbol does Ytterbium have?,Which symbol does Ytterbium have? Yb.
Rhenium has the symbol Re.,1,Which symbol does Rhenium have?,Which symbol does Rhenium have? Re.
Argon has the symbol Co.,0,Which symbol does Argon have?,Which symbol does Argon have? Co.
Zinc has the symbol Zn.,1,Which symbol does Zinc have?,Which symbol does Zinc have? Zn.
Uranium has the symbol U.,1,Which symbol does Uranium have?,Which symbol does Uranium have? U.
Ruthenium has the symbol Ru.,1,Which symbol does Ruthenium have?,Which symbol does Ruthenium have? Ru.
Magnesium has the symbol Br.,0,Which symbol does Magnesium have?,Which symbol does Magnesium have? Br.
Iodine has the symbol I.,1,Which symbol does Iodine have?,Which symbol does Iodine have? I.
Zirconium has the symbol Eu.,0,Which symbol does Zirconium have?,Which symbol does Zirconium have? Eu.
Rhodium has the symbol Sn.,0,Which symbol does Rhodium have?,Which symbol does Rhodium have? Sn.
Bismuth has the symbol La.,0,Which symbol does Bismuth have?,Which symbol does Bismuth have? La.
Nitrogen has the symbol La.,0,Which symbol does Nitrogen have?,Which symbol does Nitrogen have? La.
Oxygen has the symbol Ne.,0,Which symbol does Oxygen have?,Which symbol does Oxygen have? Ne.
Lutetium has the symbol Be.,0,Which symbol does Lutetium have?,Which symbol does Lutetium have? Be.
Praseodymium has the symbol Sc.,0,Which symbol does Praseodymium have?,Which symbol does Praseodymium have? Sc.
Germanium has the symbol Ge.,1,Which symbol does Germanium have?,Which symbol does Germanium have? Ge.
Terbium has the symbol Tb.,1,Which symbol does Terbium have?,Which symbol does Terbium have? Tb.
Argon has the symbol Ar.,1,Which symbol does Argon have?,Which symbol does Argon have? Ar.
Scandium has the symbol Rn.,0,Which symbol does Scandium have?,Which symbol does Scandium have? Rn.
Erbium has the symbol Er.,1,Which symbol does Erbium have?,Which symbol does Erbium have? Er.
Chromium has the symbol Cr.,1,Which symbol does Chromium have?,Which symbol does Chromium have? Cr.
Astatine has the symbol At.,1,Which symbol does Astatine have?,Which symbol does Astatine have? At.
Nickel has the symbol Ni.,1,Which symbol does Nickel have?,Which symbol does Nickel have? Ni.
Praseodymium has the symbol Pr.,1,Which symbol does Praseodymium have?,Which symbol does Praseodymium have? Pr.
Yttrium has the symbol Y.,1,Which symbol does Yttrium have?,Which symbol does Yttrium have? Y.
Tellurium has the symbol Te.,1,Which symbol does Tellurium have?,Which symbol does Tellurium have? Te.
Niobium has the symbol Rh.,0,Which symbol does Niobium have?,Which symbol does Niobium have? Rh.
Neodymium has the symbol Ac.,0,Which symbol does Neodymium have?,Which symbol does Neodymium have? Ac.
