statement,label,city,country,correct_country,question,question_with_answer
The city of Krasnodar is in Russia.,1,Krasnodar,Russia,Russia,In which country is the city of Krasnodar located?,In which country is the city of Krasnodar located? Russia.
The city of Krasnodar is in South Africa.,0,Krasnodar,South Africa,Russia,In which country is the city of Krasnodar located?,In which country is the city of Krasnodar located? South Africa.
The city of Lodz is in Poland.,1,Lodz,Poland,Poland,In which country is the city of Lodz located?,In which country is the city of Lodz located? Poland.
The city of Lodz is in the Dominican Republic.,0,Lodz,the Dominican Republic,Poland,In which country is the city of Lodz located?,In which country is the city of Lodz located? the Dominican Republic.
The city of Maracay is in Venezuela.,1,Maracay,Venezuela,Venezuela,In which country is the city of Maracay located?,In which country is the city of Maracay located? Venezuela.
The city of Maracay is in China.,0,Maracay,China,Venezuela,In which country is the city of Maracay located?,In which country is the city of Maracay located? China.
The city of Baku is in Azerbaijan.,1,Baku,Azerbaijan,Azerbaijan,In which country is the city of Baku located?,In which country is the city of Baku located? Azerbaijan.
The city of Baku is in Ukraine.,0,Baku,Ukraine,Azerbaijan,In which country is the city of Baku located?,In which country is the city of Baku located? Ukraine.
The city of Baoji is in China.,1,Baoji,China,China,In which country is the city of Baoji located?,In which country is the city of Baoji located? China.
The city of Baoji is in Guatemala.,0,Baoji,Guatemala,China,In which country is the city of Baoji located?,In which country is the city of Baoji located? Guatemala.
The city of Addis Ababa is in Ethiopia.,1,Addis Ababa,Ethiopia,Ethiopia,In which country is the city of Addis Ababa located?,In which country is the city of Addis Ababa located? Ethiopia.
The city of Addis Ababa is in Indonesia.,0,Addis Ababa,Indonesia,Ethiopia,In which country is the city of Addis Ababa located?,In which country is the city of Addis Ababa located? Indonesia.
The city of Abidjan is in Côte d'Ivoire.,1,Abidjan,Côte d'Ivoire,Côte d'Ivoire,In which country is the city of Abidjan located?,In which country is the city of Abidjan located? Côte d'Ivoire.
The city of Abidjan is in China.,0,Abidjan,China,Côte d'Ivoire,In which country is the city of Abidjan located?,In which country is the city of Abidjan located? China.
The city of Yongzhou is in China.,1,Yongzhou,China,China,In which country is the city of Yongzhou located?,In which country is the city of Yongzhou located? China.
The city of Yongzhou is in Ukraine.,0,Yongzhou,Ukraine,China,In which country is the city of Yongzhou located?,In which country is the city of Yongzhou located? Ukraine.
The city of Nanchong is in China.,1,Nanchong,China,China,In which country is the city of Nanchong located?,In which country is the city of Nanchong located? China.
The city of Nanchong is in Nigeria.,0,Nanchong,Nigeria,China,In which country is the city of Nanchong located?,In which country is the city of Nanchong located? Nigeria.
The city of Lu'an is in China.,1,Lu'an,China,China,In which country is the city of Lu'an located?,In which country is the city of Lu'an located? China.
The city of Lu'an is in Turkey.,0,Lu'an,Turkey,China,In which country is the city of Lu'an located?,In which country is the city of Lu'an located? Turkey.
The city of Jiaxing is in China.,1,Jiaxing,China,China,In which country is the city of Jiaxing located?,In which country is the city of Jiaxing located? China.
The city of Jiaxing is in Ukraine.,0,Jiaxing,Ukraine,China,In which country is the city of Jiaxing located?,In which country is the city of Jiaxing located? Ukraine.
The city of Huaihua is in China.,1,Huaihua,China,China,In which country is the city of Huaihua located?,In which country is the city of Huaihua located? China.
The city of Huaihua is in South Africa.,0,Huaihua,South Africa,China,In which country is the city of Huaihua located?,In which country is the city of Huaihua located? South Africa.
The city of Anqing is in China.,1,Anqing,China,China,In which country is the city of Anqing located?,In which country is the city of Anqing located? China.
The city of Anqing is in Brazil.,0,Anqing,Brazil,China,In which country is the city of Anqing located?,In which country is the city of Anqing located? Brazil.
The city of Yingkou is in China.,1,Yingkou,China,China,In which country is the city of Yingkou located?,In which country is the city of Yingkou located? China.
The city of Yingkou is in the Philippines.,0,Yingkou,the Philippines,China,In which country is the city of Yingkou located?,In which country is the city of Yingkou located? the Philippines.
The city of Panshan is in China.,1,Panshan,China,China,In which country is the city of Panshan located?,In which country is the city of Panshan located? China.
The city of Panshan is in Japan.,0,Panshan,Japan,China,In which country is the city of Panshan located?,In which country is the city of Panshan located? Japan.
The city of Guatemala City is in Guatemala.,1,Guatemala City,Guatemala,Guatemala,In which country is the city of Guatemala City located?,In which country is the city of Guatemala City located? Guatemala.
The city of Guatemala City is in Croatia.,0,Guatemala City,Croatia,Guatemala,In which country is the city of Guatemala City located?,In which country is the city of Guatemala City located? Croatia.
The city of Bauchi is in Nigeria.,1,Bauchi,Nigeria,Nigeria,In which country is the city of Bauchi located?,In which country is the city of Bauchi located? Nigeria.
The city of Bauchi is in Iran.,0,Bauchi,Iran,Nigeria,In which country is the city of Bauchi located?,In which country is the city of Bauchi located? Iran.
